Pedido;Data;Vendedor;Situacao;Cidade;Logistica;Situacao_CSV_Entrega;Valor_Pedido;Qtd_Itens;Itens_Resumo
L12608278;01/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 412,00;1;12185 - CX. DAGUA BAKOF 1000L C/TMP (1,00 UN)
L12608281;01/08/2026;NOBRE LAR VAREJ;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 3.758,40;1;21503 - CIMENTO POTY TODAS OBRAS 50KG (80,00 UN)
L12608283;01/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 91,60;1;14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (4,00 UN)
L12608288;01/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 1.328,97;8;"21243 - PISO CERBRAS IPANEMA BEGE 46 X 46 ""A"" (25,30 MT) | 15982 - NUMERO PAVA INOX 8 15CM CROMADO (1,00 UN) | 17329 - LATEX AREIA 15L FORTMAIS FORTEX (1,00 UN) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (16,00 UN) | 17250 - REJ QUARTZOLIT BEGE - 1KG (4,00 UN) | 15976 - NUMERO PAVA INOX 5 15CM CROMADO (1,00 UN) | 19981 - NUMERO PAVA INOX 3 15CM CROMADO (1,00 UN) | 10306 - TINTA FORTCRYL CAMURÇA 3,6L FORTEX (1,00 UN)"
L12608293;01/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 176,70;2;"18928 - PORC. CERBRAS LONDON MATTE HD 70 X 70 ""A"" (2,00 MT) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (1,00 UN)"
L12608296;01/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 196,00;1;21503 - CIMENTO POTY TODAS OBRAS 50KG (4,00 UN)
L12608304;01/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 698,00;3;13697 - VALVULA POLYFORT P/LAVAT BRANCA (1,00 UN) | 17213 - PIA DECORALITA GRANITO 120 X 54 CINZA REAL (1,00 UN) | 17230 - TANQUE DECORALITA DUP GRANITO 102 X 50 CINZA REAL (1,00 UN)
L12608317;01/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 128,00;1;"16582 - PORC. CERBRAS QUEBEC MATE 70 X 70 ""A"" (2,00 MT)"
L12608319;01/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 1.172,50;1;21503 - CIMENTO POTY TODAS OBRAS 50KG (25,00 UN)
L12608328;01/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 59,75;1;"21243 - PISO CERBRAS IPANEMA BEGE 46 X 46 ""A"" (2,30 MT)"
L8507035;01/08/2026;GEICI;Faturado;SANTANA;ENTREGUE;RETIRADA;R$ 47,77;2;14757 - TOAMADA ROMAZI INT MDL 10A SP+TOM 10A PL 4X2 BR C25 CANOA (1,00 UN) | 10323 - LATEX AZUL CELESTE 3,6L FORTMAIS (1,00 UN)
L12608335;03/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 806,74;3;8608 - ARGAMASSA VOTOMASSA ACII 15KG EXTERNA (10,00 UN) | 15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (4,00 UN) | 24606 - PISO POINTER GIOIA ORO 60 X 60 BR REF. 21211 (15,18 MT)
L12608337;03/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 572,00;3;17330 - LATEX MARFIM 15L FORTMAIS FORTEX (2,00 UN) | 13157 - PINTURA ASFALTICA QUARTZOLIT ACQUA - GL 3,6L (1,00 UN) | 6159 - MASSA CORRIDA 25Kg FORTEX (3,00 UN)
L12608352;03/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 2.484,91;3;"21246 - PISO CERBRAS IPANEMA CINZA 46 X 46 ""A"" (64,40 MT) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (32,00 UN) | 15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (10,00 UN)"
