Pedido;Data;Vendedor;Situacao;Cidade;Logistica;Situacao_CSV_Entrega;Valor_Pedido;Qtd_Itens;Itens_Resumo
L12609254;15/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;PROGRAMADO;R$ 441,00;5;15179 - ENGATE KRONA 50CM (1,00 UN) | 8236 - ANEL JAPI DE VEDAÇAO COM GUIA P/ VASO SANIT (1,00 UN) | 5648 - CONJ CELITE ACOP SAVEIRO BRANCO (1,00 UN) | 7694 - ASSENTO ASTRA SANIT SOFT BR1 (1,00 UN) | 23988 - PARAFUSO EUROFIX P/ SANIT B-10 LATONADO C/ 02 (1,00 UN)
L12609259;15/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 1.137,00;1;"22931 - PISO KARINA REF. 75032 ""A"" 75 X 75 RET POLIDO BLACK GOLD (15,61 MT)"
L12609322;15/08/2026;CAMILA;Faturado;VILA GRACA;ENTREGUE;CARRO HORARIO;R$ 175,90;1;20255 - JAN QUALITY COR NATURAL 2F 100 X 1,00 V CANELADO (1,00 UN)
L12609324;15/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 1.999,20;1;21503 - CIMENTO POTY TODAS OBRAS 50KG (40,00 UN)
L12609330;15/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 645,00;1;8608 - ARGAMASSA VOTOMASSA ACII 15KG EXTERNA (30,00 UN)
L12609331;15/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 195,82;2;"24287 - PISO KARINA REF. 68027 ""A"" 60 X 120 RET POLIDO CLIPSE ORO (2,18 MT) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (1,00 UN)"
L12609334;15/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 287,78;5;"17565 - ELETRODUTO KRONA DE PVC FLEX CORRUGADO 25MM 50MT (3,00 MT) | 3011 - CAIXA TRAMONTINA EMBUTIR 4 X 2 AMARELA (2,00 UN) | 24753 - PISO KARINA REF. 60332 ""A"" PIETRASANTA RET (4,96 MT) | 19458 - REJ CZ ARTICO QUARTZOLIT - 1KG (1,00 UN) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (2,00 UN)"
L12609336;15/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 234,50;1;21503 - CIMENTO POTY TODAS OBRAS 50KG (5,00 UN)
L12609341;15/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 143,00;1;22530 - PORC. CERBRAS SOHO NUDE MATTE HD 70 X 70 A (2,00 MT)
L12609342;15/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 75,67;1;"12890 - PISO CERBRAS IPU MARFIM HD 46 X 46 ""A"" (2,30 MT)"
L12609343;15/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 623,76;2;"5526 - PISO CERBRAS ARARIPE BG 46 X 46 ""A"" (13,80 MT) | 11763 - PISO CERBRAS ICAPUI BR 46 X 46 ''A'' (4,60 MT)"
L12609346;15/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 91,60;1;14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (4,00 UN)
L12609354;15/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;CARRO HORARIO;R$ 229,00;1;14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (10,00 UN)
