Pedido;Data;Vendedor;Situacao;Cidade;Logistica;Situacao_CSV_Entrega;Valor_Pedido;Qtd_Itens;Itens_Resumo
L12609367;15/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 110,00;2;"22931 - PISO KARINA REF. 75032 ""A"" 75 X 75 RET POLIDO BLACK GOLD (0,55 MT) | 21531 - PORC. ICARO POLIDO HD 70 X 70 ""C"" CERBRAS (1,00 MT)"
L12609369;15/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 223,72;3;"7721 - SIFAO ASTRA DUPLO SANFONADO (1,00 UN) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (1,00 UN) | 23107 - PISO KARINA RET REF. 68006 ""A"" 60 X 120 OMBRA DI CARVAGGI (2,18 MT)"
L12609372;15/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 5.771,16;2;"12505 - PISO CERBRAS AURORA BR 57 X 57 ""A"" (60,26 MT) | 24615 - PISO POINTER TOSCANA 60 X 60 BR REF. 212111 (96,14 MT)"
L12609374;15/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 161,15;8;"10315 - LATEX MARFIM 3,6L FORTMAIS FORTEX (1,00 UN) | 14901 - ARGAMASSA PORC E PISO S/ PISO INT CINZA 15KG QUARTZOLIT (2,00 UN) | 4544 - LIXA ATLAS P/ MASSA 80 (1,00 UN) | 4525 - ROLO ATLAS POLYESTER 9CM (2,00 UN) | 8956 - TRINCHA ATLAS MEDIA SINTETICA 1.1/2 PLUMA (1,00 UN) | 21336 - ESM. IQUINE DIALINE SEC RAP AB MARRON CONHAQUE 750ML (1,00 UN) | 8955 - TRINCHA ATLAS MEDIA SINTETICA 1"" PLUMA TEK (1,00 UN) | 12866 - LIXA ATLAS PARA FERRO GRAO 100 (1,00 UN)"
L12609376;15/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 140,70;1;21503 - CIMENTO POTY TODAS OBRAS 50KG (3,00 UN)
L12609380;15/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 310,00;1;15191 - CARRINHO TRAMONTINA RED DE MAO AZUL 50L CHAPA 24 (1,00 UN)
L12609381;15/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 965,52;5;24807 - NIVEL IRWIN DE ALUMINIO 610MM/ 24 (1,00 UN) | 23443 - PISO POINTER TRASTEVERE 60 X 60 EXT REF. 54665 (15,18 MT) | 19295 - PRUMO CORTAG PAREDE 500G (1,00 UN) | 24363 - SUPORTE NIQUELART PAPEL HIG C/ LIX CR CL CH (1,00 UN) | 11674 - LIXEIRA MOR 5L AGATA (1,00 UN)
L12609383;15/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 489,00;2;"13139 - CHUVEIRO ASTRA PLASTICO 4"" BRANCO (1,00 UN) | 7694 - ASSENTO ASTRA SANIT SOFT BR1 (1,00 UN)"
L12609385;15/08/2026;MASCILON;Faturado;SUCESSO;ENTREGUE;NORMAL;R$ 352,81;1;"21246 - PISO CERBRAS IPANEMA CINZA 46 X 46 ""A"" (13,58 MT)"
L8507237;15/08/2026;GEICI;Faturado;IPAPORANGA;ENTREGUE;NORMAL;R$ 176,00;1;24606 - PISO POINTER GIOIA ORO 60 X 60 BR REF. 21211 (5,06 MT)
L8507238;15/08/2026;GEICI;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 483,00;4;8236 - ANEL JAPI DE VEDAÇAO COM GUIA P/ VASO SANIT (1,00 UN) | 5648 - CONJ CELITE ACOP SAVEIRO BRANCO (1,00 UN) | 15171 - ENGATE KRONA 40CM (1,00 UN) | 9861 - PARAFUSO TORALF DE FIXAÇAO PA (1,00)
L8507242;15/08/2026;GEICI;Faturado;CRATEUS;ENTREGUE;CARRO HORARIO;R$ 73,00;1;16706 - TELHA FIBROC. 2,44 X 0,50M 4MM ETERNIT (2,00 UN)
L12608719;17/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 775,37;8;3722 - LUVA KRONA SOLD BUCHA LATAO 25 X 3/4 (2,00 UN) | 21503 - CIMENTO POTY TODAS OBRAS 50KG (3,00 UN) | 21342 - REG. BELLARENZO 1416 DE PRESSAO ABS 3/4 C-40 LIGHT (2,00 UN) | 3426 - CANO KRONA AGUA SOLD 25MM (30,00 MT) | 12673 - CANO KRONA ESGOTO 100MM (18,00 MT) | 13383 - FITA VEDA ROSCA PULVITEC 18MM X 50M (2,00 UN) | 3034 - ADAPTADOR KRONA SOLD CURTO 25 X 3/4 (2,00 UN) | 9870 - ADESIVO KRONA PLASTICO 75G (2,00 UN)
L12608835;17/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 597,00;2;"24746 - PISO KARINA REF. 67019 ""A"" 60 X 60 LUMINE GOLD ESM (7,44 MT) | 7338 - PISO CERBRAS PARATI HD 46 X 46 ""A"" (4,60 MT)"
L12609226;17/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 875,68;3;"21231 - REV. KARINA REF. 37207 ""A"" 32 X 57 ESM PRISMA MIX HD (2,00 MT) | 23101 - PISO KARINA GOLDEN CARBON 60 X 120 A RET POLIDO REF: 6801 (8,72 MT) | 17170 - LATEX FORTEX BRANCO GELO 15L FORTMAIS (1,00 UN)"
L12609399;17/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 290,25;4;17330 - LATEX MARFIM 15L FORTMAIS FORTEX (2,00 UN) | 21226 - GESSOMIX 1KG (5,00 UN) | 4545 - LIXA ATLAS P/ MASSA 120 (5,00 UN) | 5821 - SUPERCAL 5KG HIDRACOR (2,00 UN)
L12609401;17/08/2026;CAMILA;Faturado;IBIAPABA;ENTREGUE;CARRO HORARIO;R$ 14,10;1;5722 - BUCHA KRONA RED SOLD CURTA 40 X 32MM (4,00 UN)
L12609403;17/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 553,50;1;12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (15,00 UN)
L12609407;17/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 315,00;1;"22931 - PISO KARINA REF. 75032 ""A"" 75 X 75 RET POLIDO BLACK GOLD (4,46 MT)"
L12609408;17/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 100,63;1;"23662 - REV. KARINA REF. 21024 ""A"" 20 X 120 MONTEVERDE RET (1,68 MT)"
L12609409;17/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 622,48;2;"20095 - PISO CERBRAS VERONA POLIDO HD 75 X 75 ""A"" (9,16 MT) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (2,00 UN)"
L12609414;17/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 650,00;3;"21243 - PISO CERBRAS IPANEMA BEGE 46 X 46 ""A"" (18,40 MT) | 15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (3,00 UN) | 14557 - ARGAMASSA COZINHAS / BANHEIROS 15KG QUARTZOLIT (10,00 UN)"
L12609420;17/08/2026;LEONARDO;Faturado;IPAPORANGA;ENTREGUE;URGENTE;R$ 308,90;1;21919 - SOPRADOR GARTHEN GSF-2000 - DE FOLHAS 2000W 220V (1,00 UN)
L12609422;17/08/2026;MASCILON;Faturado;PORANGA;ENTREGUE;NORMAL;R$ 884,00;3;22914 - REV. CARMELO FIOR MENFI GRIGIO PLUS 38 X 75MM A (18,00 MT) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (9,00 UN) | 15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (3,00 UN)
L12609428;17/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 59,75;1;"21246 - PISO CERBRAS IPANEMA CINZA 46 X 46 ""A"" (2,30 MT)"
L12609430;17/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 1.458,36;3;14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (15,00 UN) | 15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (7,00 UN) | 24606 - PISO POINTER GIOIA ORO 60 X 60 BR REF. 21211 (30,36 MT)
L12609431;17/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 222,00;2;"22934 - REV. KARINA REF. 21003 ""A"" 20 X 120 CARVALHO CANELA RET H (3,36 MT) | 17708 - ESPACADOR CORTAG NIVELADOR SLIM 1,5MM VERMELHO (2,00 UN)"
L12609432;17/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 3.216,64;10;"21102 - PENDENTE NITROLUX NTL-004 3W 3 EM 1 (3,00 UN) | 17708 - ESPACADOR CORTAG NIVELADOR SLIM 1,5MM VERMELHO (10,00 UN) | 13697 - VALVULA POLYFORT P/LAVAT BRANCA (1,00 UN) | 17400 - CUNHA CORTAG SLIM PARA NIVELAMENTO (3,00 UN) | 21958 - TANQUE FORTMAMORE BABY 54 X 41 LUXO BLACK (1,00 UN) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (65,00 UN) | 13482 - PISO CERBRAS ATENAS CZ 57 X 57 ""A"" (12,95 MT) | 9140 - DUCHA LORENZETTI ELET. DUO SHOWER QUAD. MULTITEMP (1,00 UN) | 7792 - SIFAO ASTRA SANF SIMPLES UNIVERSAL PLAST BCO (1,00 UN) | 21683 - TORN. BELLARENZO 1167 COZ ME B M ALTA C-70 B GOURMET 1/4 (1,00 UN)"
L12609439;17/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 209,00;2;"22934 - REV. KARINA REF. 21003 ""A"" 20 X 120 CARVALHO CANELA RET H (3,36 MT) | 6794 - REJ MARROM TABACO QUARTZOLIT - 1KG (1,00 KG)"
L12609442;17/08/2026;CAMILA;Faturado;INDEPENDENCIA;ENTREGUE;NORMAL;R$ 200,00;1;22560 - PISO CARMELO FIOR MELINDA 57 X 57MM HD A (5,18 MT)
L12609444;17/08/2026;LEONARDO;Faturado;PORANGA;ENTREGUE;NORMAL;R$ 945,00;2;"24287 - PISO KARINA REF. 68027 ""A"" 60 X 120 RET POLIDO CLIPSE ORO (10,90 MT) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (5,00 UN)"
L12609446;17/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 939,43;3;"24608 - PISO CERBRAS ITATIAIA HD 46 X 46 ""A"" (20,70 MT) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (9,00 UN) | 15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (4,00 UN)"
L12609453;17/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 143,80;1;20883 - PISO CERBRAS SOHO GRAPHITE MATTE HD 70x70 A cx 2,00m2 (2,00 M2)
L8507243;17/08/2026;GEICI;Faturado;NOVO ORIENTE;ENTREGUE;URGENTE;R$ 5.180,00;4;"16582 - PORC. CERBRAS QUEBEC MATE 70 X 70 ""A"" (30,00 MT) | 15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (11,00 UN) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (30,00 UN) | 16186 - PORC. ZEUS POLIDO 70 X 70 ""A"" CERBRAS (26,00 MT)"
L8507246;17/08/2026;GEICI;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 1.107,00;1;12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (30,00 UN)
L8507254;17/08/2026;GEICI;Faturado;INDEPENDENCIA;ENTREGUE;NORMAL;R$ 1.437,00;3;15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (5,00 UN) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (14,00 UN) | 24718 - PISO POINTER ONIX OURO 60 X 60 BR REF. 207730 (25,30 MT)
L8507257;17/08/2026;GEICI;Faturado;INDEPENDENCIA;ENTREGUE;NORMAL;R$ 2.183,00;2;"21243 - PISO CERBRAS IPANEMA BEGE 46 X 46 ""A"" (73,60 MT) | 23387 - PISO KARINA RET. 69011 ""A"" 61 X 121 FILETO CANELA ESM (4,40 MT)"
L8507259;17/08/2026;GEICI;Faturado;INDEPENDENCIA;ENTREGUE;NORMAL;R$ 585,00;1;"7338 - PISO CERBRAS PARATI HD 46 X 46 ""A"" (18,40 MT)"
L8507260;17/08/2026;GEICI;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 1.626,92;1;23457 - PISO POINTER NEO CIMENTO CINZA RET 59,5 X 59,5 MATE REF.2 (36,90 MT)
L8507261;17/08/2026;KAYLLANE;Faturado;CRATEUS;ENTREGUE;CARRO HORARIO;R$ 130,00;3;3426 - CANO KRONA AGUA SOLD 25MM (30,00 MT) | 3777 - LUVA KRONA SOLD 25MM (5,00 UN) | 7070 - JOELHO KRONA 90º SOLD 25MM (1,00 UN)
L12609454;18/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 1.400,00;1;"22931 - PISO KARINA REF. 75032 ""A"" 75 X 75 RET POLIDO BLACK GOLD (20,07 MT)"
L12609462;18/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 311,24;2;"20095 - PISO CERBRAS VERONA POLIDO HD 75 X 75 ""A"" (4,58 MT) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (1,00 UN)"
L12609468;18/08/2026;NOBRE LAR VAREJ;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 3.752,00;1;21503 - CIMENTO POTY TODAS OBRAS 50KG (80,00 UN)
L12609469;18/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 251,60;14;10252 - JOELHO KRONA 90º C/BUCHA LATAO 25 X 1/2 (1,00 UN) | 5750 - PLUG KRONA ROSCAVEL 1/2 BRANCO (1,00 UN) | 7152 - BUCHA KRONA RED SOLD LONGA 40 X 25MM (1,00 UN) | 3908 - TORN. BOIA ASTRA 1/2 E 3/4 HASTE ALUMINIO (1,00 UN) | 3741 - REG KRONA ESF. SOLD 40MM (1,00 UN) | 8494 - ADESIVO POLYTUBES 75G PARA TUBOD (1,00 UN) | 3698 - LUVA KRONA SOLD 40MM (1,00 UN) | 3426 - CANO KRONA AGUA SOLD 25MM (24,00 MT) | 13383 - FITA VEDA ROSCA PULVITEC 18MM X 50M (1,00 UN) | 5720 - TEE KRONA SOLD 25MM (2,00 UN) | 7070 - JOELHO KRONA 90º SOLD 25MM (5,00 UN) | 12544 - CANO KRONA AGUA SOLD 40MM (2,00 MT) | 18354 - ASSENTO ASTRA MISTO (1,00 UN) | 15441 - REG KRONA ESF. SOLD 25MM (1,00 UN)
L12609473;18/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 231,00;4;10440 - TOMADA TRAMONTINA 2P+T 10A/250V ARIA BRANCA (1,00 UN) | 16699 - TOMADA TRAMONTINA INT SIMPLES 6A + TOM 2P + T 10A ARIA (1,00 UN) | 22388 - PORC. ELIZABETH PALHA BRANCO 60 X 120 A RET ESM ACET (1,44 MT) | 24477 - LAMP. GOREMI LED G9 12W BQ (3,00 UN)
L12609475;18/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 957,77;2;"21246 - PISO CERBRAS IPANEMA CINZA 46 X 46 ""A"" (25,30 MT) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (11,00 UN)"
L12609476;18/08/2026;CAMILA;Faturado;REALEJO;ENTREGUE;NORMAL;R$ 3.140,76;6;"24746 - PISO KARINA REF. 67019 ""A"" 60 X 60 LUMINE GOLD ESM (7,44 MT) | 17267 - PORC. CERBRAS OLIMPO POLIDO 70 X 70 ""A"" (22,00 MT) | 15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (1,00 UN) | 19719 - REJUNTE QUARTZOLIT PORCELANATO CINZA ARTICO 1KG (3,00 UN) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (17,00 UN) | 19154 - PORC. CERBRAS OLIMPO MATE 70 X 70 ""A"" (6,00 MT)"
L12609481;18/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 167,10;5;"10316 - LATEX PEROLA 3,6L FORTMAIS (1,00 UN) | 4545 - LIXA ATLAS P/ MASSA 120 (1,00 UN) | 21243 - PISO CERBRAS IPANEMA BEGE 46 X 46 ""A"" (4,60 MT) | 17250 - REJ QUARTZOLIT BEGE - 1KG (1,00 UN) | 14557 - ARGAMASSA COZINHAS / BANHEIROS 15KG QUARTZOLIT (2,00 UN)"
L12609482;18/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 319,00;1;15636 - SUPERGRAUTE QUARTZOLIT 25KG (4,00 UN)
L12609484;18/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 788,29;2;"12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (5,00 UN) | 23662 - REV. KARINA REF. 21024 ""A"" 20 X 120 MONTEVERDE RET (10,08 MT)"
L12609487;18/08/2026;CAMILA;Faturado;INDEPENDENCIA;ENTREGUE;URGENTE;R$ 215,00;1;8608 - ARGAMASSA VOTOMASSA ACII 15KG EXTERNA (10,00 UN)
L12609488;18/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 239,00;6;"18520 - PREGO GERDAU 19 X 36 3.1/4 X 9 KG (1,00 UN) | 24287 - PISO KARINA REF. 68027 ""A"" 60 X 120 RET POLIDO CLIPSE ORO (2,18 MT) | 20842 - FITA 3M ISOLANTE IMPERIAL SLIM 18MM X 10M (1,00 UN) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (1,00 UN) | 24710 - LUVA WORKER PU PRETA WK29 POLIESTER TAM 8 M (2,00 UN) | 19721 - TORN. VIQUA MESA BICA MOVEL COZINHA MARUJA PRETA (1,00 UN)"
L12609491;18/08/2026;LEONARDO;Faturado;IPAPORANGA;ENTREGUE;URGENTE;R$ 1.149,80;3;"16582 - PORC. CERBRAS QUEBEC MATE 70 X 70 ""A"" (14,00 MT) | 20201 - ARGAMASSA PISO SOBRE PISO EXTERNO CINZA 15KG QUARTZOLIT (7,00 UN) | 11906 - REJUNTE QUARTZOLIT P/PORCELANATO CZ PLATINA 1KG FD (1,00)"
L12609492;18/08/2026;CAMILA;Faturado;BURITI DOS MONTES;ENTREGUE;NORMAL;R$ 22.976,00;10;"18965 - PORC. CERBRAS NETUNO GRIS POLIDO HD 70 X 70 A (44,00 MT) | 22000 - PORC. CERBRAS NETUNO GRIS MATTE HD 70 X 70 A (14,00 MT) | 16580 - PORC. CERBRAS ZEUS MATE 70 X 70 ""A"" (42,00 MT) | 19719 - REJUNTE QUARTZOLIT PORCELANATO CINZA ARTICO 1KG (20,00 UN) | 22765 - REV. KARINA 68017 MACCHIA ORO 60 X 120 RET POLIDO (6,54 MT) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (122,00 UN) | 16186 - PORC. ZEUS POLIDO 70 X 70 ""A"" CERBRAS (124,00 MT) | 23107 - PISO KARINA RET REF. 68006 ""A"" 60 X 120 OMBRA DI CARVAGGI (6,54 MT) | 22687 - PISO KARINA RET REF. 68016 ""A"" 60 X 120 POLIDO GOLD RIVER (8,72 MT) | 11906 - REJUNTE QUARTZOLIT P/PORCELANATO CZ PLATINA 1KG FD (10,00)"
L12609505;18/08/2026;MASCILON;Faturado;TAMBORIL;ENTREGUE;URGENTE;R$ 1.180,41;1;"14604 - PISO CERBRAS LUMINATTO BG POLIDO 56 X 56 ""A"" (21,90 MT)"
L12609506;18/08/2026;LIMA;Faturado;CRATEUS;CANCELADO;NORMAL;R$ 55,00;1;19618 - ARMARIO HERC P/ BANHEIRO TIVOLI BRANCO (1,00 UN)
L12609507;18/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 663,30;3;4545 - LIXA ATLAS P/ MASSA 120 (10,00 UN) | 17170 - LATEX FORTEX BRANCO GELO 15L FORTMAIS (2,00 UN) | 24404 - IMPERMEABILIZANTE BFM ACRILICO 3XR VEDABEM 18KG - BRANCO (1,00 UN)
L12609509;18/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 668,89;8;21503 - CIMENTO POTY TODAS OBRAS 50KG (1,00 UN) | 17875 - TINTA FORTCRYL AREIA 15L FORTEX (1,00 UN) | 17329 - LATEX AREIA 15L FORTMAIS FORTEX (1,00 UN) | 12274 - COLA TEKBOND INSTANTANEA 793 20G (1,00 UN) | 17198 - LATEX FORTEX BRANCO NEVE 15L FORTMAIS (1,00 UN) | 6159 - MASSA CORRIDA 25Kg FORTEX (1,00 UN) | 10306 - TINTA FORTCRYL CAMURÇA 3,6L FORTEX (1,00 UN) | 14557 - ARGAMASSA COZINHAS / BANHEIROS 15KG QUARTZOLIT (1,00 UN)
L12609510;18/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 304,92;1;19633 - PORC. DELTA PULPIS GRAFITE ESMAL POLIDO RET 84 X 84 A (2,80 MT)
L12609538;18/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 53,22;1;"24287 - PISO KARINA REF. 68027 ""A"" 60 X 120 RET POLIDO CLIPSE ORO (0,73 MT)"
L12609542;18/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 183,30;2;16196 - REJUNTE QUARTZOLIT PORCELANATO PRETO GRAFIT 1KG (1,00 UN) | 20201 - ARGAMASSA PISO SOBRE PISO EXTERNO CINZA 15KG QUARTZOLIT (6,00 UN)
L12609547;18/08/2026;CAMILA;Faturado;MONTE NEBO;ENTREGUE;CARRO HORARIO;R$ 1.224,25;9;"15179 - ENGATE KRONA 50CM (1,00 UN) | 14186 - SIFAO KRONA SIMPLES BRANCO (1,00 UN) | 11641 - TORN. LORENZETTI COZ. MESA BICA MOVEL WAY 7011200 (1,00 UN) | 5625 - PIA GHELPLUS INOX 1,50MT (1,00 UN) | 21243 - PISO CERBRAS IPANEMA BEGE 46 X 46 ""A"" (11,50 MT) | 8312 - VALVULA GHEL PLUS INOX 3. 1/2 (1,00 UN) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (5,00 UN) | 12184 - CX. DAGUA BAKOF 500L C/TMP (1,00 UN) | 17250 - REJ QUARTZOLIT BEGE - 1KG (2,00 UN)"
L12609552;18/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 875,00;5;"21243 - PISO CERBRAS IPANEMA BEGE 46 X 46 ""A"" (18,40 MT) | 14901 - ARGAMASSA PORC E PISO S/ PISO INT CINZA 15KG QUARTZOLIT (10,00 UN) | 15252 - CHAPIX PVA GALAO 3,6L QUARTZOLIT (1,00 UN) | 15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (4,00 UN) | 4916 - ESPAÇADOR GRAP 3,0MM REF. 1203 (1,00 UN)"
