Pedido;Data;Vendedor;Situacao;Cidade;Logistica;Situacao_CSV_Entrega;Valor_Pedido;Qtd_Itens;Itens_Resumo
L8507328;22/08/2026;GEICI;Faturado;IPAPORANGA;ENTREGUE;NORMAL;R$ 2.035,50;5;"21810 - PISO KARINA ONIX BLACK RET REF. 75027 ""A"" 75 X 75 (4,46 MT) | 5812 - REJ QUARTZOLIT BRANCO - 1KG (2,00 UN) | 12505 - PISO CERBRAS AURORA BR 57 X 57 ""A"" (5,24 MT) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (15,00 UN) | 9192 - PISO CERBRAS NAPOLI POLIDO 56 X 56 ""A"" (21,90 MT)"
L8507336;22/08/2026;GEICI;Faturado;IPAPORANGA;ENTREGUE;NORMAL;R$ 1.123,00;6;"8608 - ARGAMASSA VOTOMASSA ACII 15KG EXTERNA (13,00 UN) | 21503 - CIMENTO POTY TODAS OBRAS 50KG (2,00 UN) | 21243 - PISO CERBRAS IPANEMA BEGE 46 X 46 ""A"" (16,10 MT) | 11479 - REJUNTE VOTOMASSA CZ PLATINA 1KG (2,00 UN) | 21246 - PISO CERBRAS IPANEMA CINZA 46 X 46 ""A"" (11,50 MT) | 17250 - REJ QUARTZOLIT BEGE - 1KG (2,00 UN)"
L8507344;22/08/2026;GEICI;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 1.117,84;5;"22137 - TORN. BELLARENZO 1167 COZ PA LONGA BM ALTA ACAB C61 (1,00 UN) | 8312 - VALVULA GHEL PLUS INOX 3. 1/2 (1,00 UN) | 21246 - PISO CERBRAS IPANEMA CINZA 46 X 46 ""A"" (23,00 MT) | 17214 - PIA DECORALITA GRANITO 120 X 54 VERDE ROMANO (1,00 UN) | 14557 - ARGAMASSA COZINHAS / BANHEIROS 15KG QUARTZOLIT (10,00 UN)"
L12609887;24/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 199,37;2;23721 - PISO POINTER JARDIM MIX 60 X 60 EXT REF. 209931 (2,53 MT) | 24606 - PISO POINTER GIOIA ORO 60 X 60 BR REF. 21211 (2,53 MT)
L12609890;24/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 29,80;1;14557 - ARGAMASSA COZINHAS / BANHEIROS 15KG QUARTZOLIT (2,00 UN)
L12609891;24/08/2026;NOBRE LAR VAREJ;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 2.435,80;2;20672 - PREGO COMPREL TELHEIRO CAB GDE 18 X 36 500G CX20 (2,00) | 16754 - TELHA FIBROC. 2,44 X 1,10M 5MM ETERNIT (24,00 UN)
L12609894;24/08/2026;NOBRE LAR VAREJ;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 405,60;1;12671 - CANO KRONA ESGOTO 75MM (24,00 MT)
L12609896;24/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 6.911,70;3;18965 - PORC. CERBRAS NETUNO GRIS POLIDO HD 70 X 70 A (100,00 MT) | 17400 - CUNHA CORTAG SLIM PARA NIVELAMENTO (3,00 UN) | 14902 - ESPACADOR CORTAG NIVELADOR REVEST/PISOS VERM (14,00 UN)
L12609897;24/08/2026;NOBRE LAR VAREJ;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 378,00;2;14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (10,00 UN) | 14557 - ARGAMASSA COZINHAS / BANHEIROS 15KG QUARTZOLIT (10,00 UN)
L12609899;24/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 305,00;6;5567 - LAVAT. CELITE C/COL SAVERO/ ARIES BCO (1,00 UN) | 13697 - VALVULA POLYFORT P/LAVAT BRANCA (1,00 UN) | 7786 - CHUVEIRO ASTRA PLASTICO 6'' X 1/2'' BRANCO (1,00 UN) | 7792 - SIFAO ASTRA SANF SIMPLES UNIVERSAL PLAST BCO (1,00 UN) | 23988 - PARAFUSO EUROFIX P/ SANIT B-10 LATONADO C/ 02 (1,00 UN) | 14041 - TORN. VIQUA DE MESA /BANHEIRO MARUJA BRANCA (1,00 UN)
L12609904;24/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 665,32;3;21503 - CIMENTO POTY TODAS OBRAS 50KG (6,00 UN) | 3806 - TELA COLUNA 8,00MM 7 X 17CM 6M AÇO MAIA (3,00 UN) | 6615 - TRELICA / ESPACADOR 6M LEVE MAIA (2,00 UN)
L12609907;24/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 623,36;3;"24852 - PISO CERBRAS IPANEMA CINZA 46 X 46 ""C"" (18,40 MT) | 8608 - ARGAMASSA VOTOMASSA ACII 15KG EXTERNA (11,00 UN) | 11479 - REJUNTE VOTOMASSA CZ PLATINA 1KG (3,00 UN)"
L12609914;24/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 1.007,40;1;"7319 - PISO CERBRAS CRISTAL 46 X 46 ""C"" (46,00 MT)"
L12609915;24/08/2026;MIKHAELL;Faturado;INDEPENDENCIA;ENTREGUE;NORMAL;R$ 828,00;3;"24287 - PISO KARINA REF. 68027 ""A"" 60 X 120 RET POLIDO CLIPSE ORO (8,72 MT) | 15624 - REJ QUARTZOLIT CZ PLATINA - 1KG (1,00 UN) | 12532 - ARGAMASSA ACIII QUARTZOLIT-15KG (5,00 UN)"
L12609923;24/08/2026;NOBRE LAR VAREJ;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 3.752,00;1;21503 - CIMENTO POTY TODAS OBRAS 50KG (80,00 UN)
