Pedido;Data;Vendedor;Situacao;Cidade;Logistica;Situacao_CSV_Entrega;Valor_Pedido;Qtd_Itens;Itens_Resumo
L12608765;08/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 7.309,00;1;24719 - PISO CERBRAS PALAZZO POLIDO HD 75 X 75 A (128,25 MT)
L12608785;08/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 49,99;1;21503 - CIMENTO POTY TODAS OBRAS 50KG (1,00 UN)
L12608791;08/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;CARRO HORARIO;R$ 359,50;2;22870 - HASTE NOLL DE PAREDE P/LUMINARIA LED SOLAR 40MM (1,00 UN) | 22869 - LUMINARIA NOLL RECARREGAVEL LED SOLAR P/POSTE 100W 6000K (1,00 UN)
L12608803;08/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 716,00;12;3082 - JOELHO KRONA 90º ESG 40MM (6,00 UN) | 7153 - BUCHA KRONA RED SOLD LONGA 50 X 25 (2,00 UN) | 3723 - TEE KRONA ESGOTO 40MM (2,00 UN) | 5498 - ADAPTADOR KRONA C/ FLANGE 50MM (2,00 UN) | 9872 - ADESIVO KRONA PLASTICO 175G (1,00 UN) | 5505 - TEE KRONA SOLD 50MM (1,00 UN) | 5724 - ADAPTADOR KRONA C/ FLANGE 25MM (2,00 UN) | 22182 - LAMINA IRWIN P/SERRA MANUAL BI M 18D 10PC (1,00 UN) | 3426 - CANO KRONA AGUA SOLD 25MM (36,00 MT) | 6119 - CANO AMANCO ESGOTO 40MM (18,00 MT) | 5502 - JOELHO KRONA 90º SOLD 50MM (2,00 UN) | 12184 - CX. DAGUA BAKOF 500L C/TMP (1,00 UN)
L12608805;08/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 345,00;1;"11796 - PISO CERBRAS AURORA BG 46 x 46 ""A"" (11,50 MT)"
L12608807;08/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 137,80;1;"17267 - PORC. CERBRAS OLIMPO POLIDO 70 X 70 ""A"" (2,00 MT)"
L12608813;08/08/2026;LIMA;Faturado;TUCUNS;ENTREGUE;NORMAL;R$ 432,90;1;12185 - CX. DAGUA BAKOF 1000L C/TMP (1,00 UN)
L12608817;08/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 3.480,00;5;"13082 - CONJ CELITE LIKE BCO ACOP ECOFLUSH COMPLETO (2,00 UN) | 21246 - PISO CERBRAS IPANEMA CINZA 46 X 46 ""A"" (25,30 MT) | 11812 - PISO CERBRAS IPU MOGNO HD 46 X 46 'A' (9,20 MT) | 11763 - PISO CERBRAS ICAPUI BR 46 X 46 ''A'' (9,20 MT) | 7318 - PISO CERBRAS CRISTAL 46 X 46 A (27,60 MT)"
L12608822;08/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 68,70;1;14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (3,00 UN)
L12608824;08/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 88,30;1;24606 - PISO POINTER GIOIA ORO 60 X 60 BR REF. 21211 (2,53 MT)
